"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: costOfWork","Param: inputSize","Param: reservoirSize"
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.X","thrpt",1,15,20.585080,0.101068,"ops/s",0,5000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.X","thrpt",1,15,20.162465,0.080704,"ops/s",0,5000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.X","thrpt",1,15,51.338542,0.303676,"ops/s",10,1000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.X","thrpt",1,15,51.375545,0.166399,"ops/s",10,1000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.X","thrpt",1,15,51.314597,0.137512,"ops/s",10,1000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.X","thrpt",1,15,10.232277,0.044385,"ops/s",10,5000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.X","thrpt",1,15,10.242808,0.017755,"ops/s",10,5000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.X","thrpt",1,15,10.225442,0.021531,"ops/s",10,5000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.X","thrpt",1,15,5.003264,0.006529,"ops/s",100,1000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.X","thrpt",1,15,5.005151,0.004597,"ops/s",100,1000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.X","thrpt",1,15,5.007639,0.006859,"ops/s",100,1000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.X","thrpt",1,15,1.001065,0.001128,"ops/s",100,5000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.X","thrpt",1,15,1.000810,0.000806,"ops/s",100,5000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.X","thrpt",1,15,1.002279,0.000560,"ops/s",100,5000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,226.815785,0.365067,"ops/s",0,1000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,249.246922,34.556701,"ops/s",0,1000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,257.123323,22.706050,"ops/s",0,1000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,44.777652,0.080433,"ops/s",0,5000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,49.037830,6.721607,"ops/s",0,5000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,44.677714,0.632957,"ops/s",0,5000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,72.985633,0.086181,"ops/s",10,1000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,72.654630,0.085421,"ops/s",10,1000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,72.716529,0.032261,"ops/s",10,1000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,14.521008,0.011358,"ops/s",10,5000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,14.483932,0.031165,"ops/s",10,5000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,14.473932,0.025634,"ops/s",10,5000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,5.139196,0.003208,"ops/s",100,1000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,5.187397,0.007016,"ops/s",100,1000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,5.160341,0.034001,"ops/s",100,1000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,1.027532,0.000525,"ops/s",100,5000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,1.031240,0.005692,"ops/s",100,5000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.Z","thrpt",1,15,1.028391,0.006617,"ops/s",100,5000000,2000
